"Date","HomeTeam","AwayTeam","FTHG","HTAG","FTR"
2017-12-15,"Sevilla","Levante",0,0,"D"
2017-12-16,"Ath Bilbao","Sociedad",0,0,"D"
2017-12-16,"Ath Madrid","Alaves",1,0,"H"
2017-12-16,"Eibar","Valencia",2,0,"H"
2017-12-17,"Barcelona","La Coruna",4,0,"H"
2017-12-17,"Celta","Villarreal",0,1,"A"
2017-12-17,"Girona","Getafe",1,0,"H"
2017-12-17,"Las Palmas","Espanol",2,2,"D"
2017-12-18,"Malaga","Betis",0,1,"A"
2017-12-19,"Levante","Leganes",0,0,"D"
2017-12-20,"Getafe","Las Palmas",2,0,"H"
2017-12-20,"Sociedad","Sevilla",3,1,"H"
2017-12-21,"Alaves","Malaga",1,0,"H"
2017-12-21,"Eibar","Girona",4,1,"H"
2017-12-22,"Betis","Ath Bilbao",0,1,"A"
2017-12-22,"Espanol","Ath Madrid",1,0,"H"
2017-12-23,"La Coruna","Celta",1,2,"A"
2017-12-23,"Real Madrid","Barcelona",0,0,"A"
2017-12-23,"Valencia","Villarreal",0,1,"A"
2018-01-06,"Ath Madrid","Getafe",2,0,"H"
2018-01-06,"Las Palmas","Eibar",1,0,"A"
2018-01-06,"Sevilla","Betis",3,2,"A"
2018-01-06,"Valencia","Girona",2,1,"H"
2018-01-07,"Ath Bilbao","Alaves",2,0,"H"
2018-01-07,"Barcelona","Levante",3,0,"H"
2018-01-07,"Celta","Real Madrid",2,2,"D"
2018-01-07,"Leganes","Sociedad",1,0,"H"
2018-01-07,"Villarreal","La Coruna",1,0,"D"
2018-01-08,"Malaga","Espanol",0,1,"A"
2018-01-12,"Getafe","Malaga",1,0,"H"
2018-01-13,"Eibar","Ath Madrid",0,1,"A"
2018-01-13,"Girona","Las Palmas",6,0,"H"
2018-01-13,"La Coruna","Valencia",1,1,"A"
2018-01-13,"Real Madrid","Villarreal",0,0,"A"
2018-01-14,"Alaves","Sevilla",1,0,"H"
2018-01-14,"Espanol","Ath Bilbao",1,1,"D"
2018-01-14,"Levante","Celta",0,1,"A"
2018-01-14,"Sociedad","Barcelona",2,1,"A"
2018-01-15,"Betis","Leganes",3,1,"H"
2018-01-19,"Getafe","Ath Bilbao",2,1,"D"
2018-01-20,"Ath Madrid","Girona",1,0,"D"
2018-01-20,"Espanol","Sevilla",0,2,"A"
2018-01-20,"Las Palmas","Valencia",2,1,"H"
2018-01-20,"Villarreal","Levante",2,0,"H"
2018-01-21,"Alaves","Leganes",2,0,"D"
2018-01-21,"Betis","Barcelona",0,0,"A"
2018-01-21,"Real Madrid","La Coruna",7,1,"H"
2018-01-21,"Sociedad","Celta",1,1,"A"
2018-01-22,"Eibar","Malaga",1,1,"D"
2018-01-26,"Ath Bilbao","Eibar",1,0,"D"
2018-01-27,"La Coruna","Levante",2,0,"D"
2018-01-27,"Malaga","Girona",0,0,"D"
2018-01-27,"Valencia","Real Madrid",1,2,"A"
2018-01-27,"Villarreal","Sociedad",4,1,"H"
2018-01-28,"Ath Madrid","Las Palmas",3,0,"H"
2018-01-28,"Barcelona","Alaves",2,1,"H"
2018-01-28,"Leganes","Espanol",3,0,"H"
2018-01-28,"Sevilla","Getafe",1,0,"D"
2018-01-29,"Celta","Betis",3,0,"H"
2018-02-02,"Sociedad","La Coruna",5,0,"H"
2018-02-03,"Alaves","Celta",2,0,"H"
2018-02-03,"Betis","Villarreal",2,0,"H"
2018-02-03,"Eibar","Sevilla",5,1,"H"
2018-02-03,"Levante","Real Madrid",2,1,"D"
2018-02-04,"Ath Madrid","Valencia",1,0,"H"
2018-02-04,"Espanol","Barcelona",1,0,"D"
2018-02-04,"Getafe","Leganes",0,0,"D"
2018-02-04,"Girona","Ath Bilbao",2,0,"H"
2018-02-05,"Las Palmas","Malaga",1,0,"H"
2018-02-09,"Ath Bilbao","Las Palmas",0,0,"D"
2018-02-10,"Leganes","Eibar",0,0,"A"
2018-02-10,"Malaga","Ath Madrid",0,1,"A"
2018-02-10,"Real Madrid","Sociedad",5,0,"H"
2018-02-10,"Villarreal","Alaves",1,1,"A"
2018-02-11,"Barcelona","Getafe",0,0,"D"
2018-02-11,"Celta","Espanol",2,1,"D"
2018-02-11,"Sevilla","Girona",1,0,"H"
2018-02-11,"Valencia","Levante",3,1,"H"
2018-02-12,"La Coruna","Betis",0,0,"A"
2018-02-16,"Girona","Leganes",3,0,"H"
2018-02-17,"Alaves","La Coruna",1,0,"H"
2018-02-17,"Eibar","Barcelona",0,1,"A"
2018-02-17,"Las Palmas","Sevilla",1,1,"A"
2018-02-17,"Malaga","Valencia",1,0,"A"
2018-02-18,"Ath Madrid","Ath Bilbao",2,0,"H"
2018-02-18,"Betis","Real Madrid",3,1,"A"
2018-02-18,"Espanol","Villarreal",1,1,"D"
2018-02-18,"Sociedad","Levante",3,0,"H"
2018-02-19,"Getafe","Celta",3,0,"H"
2018-02-21,"Leganes","Real Madrid",1,2,"A"
2018-02-23,"La Coruna","Espanol",0,0,"D"
2018-02-24,"Barcelona","Girona",6,1,"H"
2018-02-24,"Celta","Eibar",2,0,"H"
2018-02-24,"Leganes","Las Palmas",0,0,"D"
2018-02-24,"Real Madrid","Alaves",4,0,"H"
2018-02-25,"Ath Bilbao","Malaga",2,1,"H"
2018-02-25,"Sevilla","Ath Madrid",2,2,"A"
2018-02-25,"Valencia","Sociedad",2,0,"H"
2018-02-25,"Villarreal","Getafe",1,0,"H"
2018-02-26,"Levante","Betis",0,0,"A"
2018-02-27,"Espanol","Real Madrid",1,0,"H"
2018-02-27,"Girona","Celta",1,0,"H"
2018-02-28,"Ath Bilbao","Valencia",1,1,"D"
2018-02-28,"Ath Madrid","Leganes",4,0,"H"
2018-02-28,"Eibar","Villarreal",1,0,"H"
2018-02-28,"Getafe","La Coruna",3,0,"H"
2018-02-28,"Malaga","Sevilla",0,1,"A"
2018-03-01,"Alaves","Levante",1,0,"H"
2018-03-01,"Betis","Sociedad",0,0,"D"
2018-03-01,"Las Palmas","Barcelona",1,1,"D"
2018-03-03,"La Coruna","Eibar",1,1,"D"
2018-03-03,"Leganes","Malaga",2,0,"H"
2018-03-03,"Real Madrid","Getafe",3,0,"H"
2018-03-03,"Sevilla","Ath Bilbao",2,0,"H"
2018-03-03,"Villarreal","Girona",0,1,"A"
2018-03-04,"Barcelona","Ath Madrid",1,0,"H"
2018-03-04,"Levante","Espanol",1,0,"D"
2018-03-04,"Sociedad","Alaves",2,1,"H"
2018-03-04,"Valencia","Betis",2,0,"H"
2018-03-05,"Celta","Las Palmas",2,0,"H"
2018-03-09,"Girona","La Coruna",2,0,"H"
2018-03-10,"Eibar","Real Madrid",1,1,"A"
2018-03-10,"Getafe","Levante",0,0,"A"
2018-03-10,"Malaga","Barcelona",0,2,"A"
2018-03-10,"Sevilla","Valencia",0,1,"A"
2018-03-11,"Ath Bilbao","Leganes",2,0,"H"
2018-03-11,"Ath Madrid","Celta",3,0,"H"
2018-03-11,"Espanol","Sociedad",2,1,"H"
2018-03-11,"Las Palmas","Villarreal",0,0,"A"
2018-03-12,"Alaves","Betis",1,2,"A"
2018-03-16,"Levante","Eibar",2,0,"H"
2018-03-17,"Betis","Espanol",3,0,"H"
2018-03-17,"La Coruna","Las Palmas",1,1,"D"
2018-03-17,"Sociedad","Getafe",1,1,"A"
2018-03-17,"Valencia","Alaves",3,0,"H"
2018-03-18,"Barcelona","Ath Bilbao",2,0,"H"
2018-03-18,"Celta","Malaga",0,0,"D"
2018-03-18,"Leganes","Sevilla",2,0,"H"
2018-03-18,"Real Madrid","Girona",6,1,"H"
2018-03-18,"Villarreal","Ath Madrid",2,1,"H"
2018-03-31,"Ath Bilbao","Celta",1,0,"D"
2018-03-31,"Girona","Levante",1,0,"D"
2018-03-31,"Las Palmas","Real Madrid",0,2,"A"
2018-03-31,"Sevilla","Barcelona",2,0,"D"
2018-04-01,"Ath Madrid","La Coruna",1,0,"H"
2018-04-01,"Eibar","Sociedad",0,0,"D"
2018-04-01,"Espanol","Alaves",0,0,"D"
2018-04-01,"Leganes","Valencia",0,0,"A"
2018-04-01,"Malaga","Villarreal",1,0,"H"
2018-04-02,"Getafe","Betis",0,0,"A"
2018-04-06,"La Coruna","Malaga",3,1,"H"
2018-04-07,"Alaves","Getafe",2,0,"H"
2018-04-07,"Barcelona","Leganes",3,0,"H"
2018-04-07,"Betis","Eibar",2,0,"H"
2018-04-07,"Celta","Sevilla",4,0,"H"
2018-04-08,"Levante","Las Palmas",2,0,"H"
2018-04-08,"Real Madrid","Ath Madrid",1,0,"D"
2018-04-08,"Sociedad","Girona",5,0,"H"
2018-04-08,"Valencia","Espanol",1,0,"H"
2018-04-09,"Villarreal","Ath Bilbao",1,1,"A"
2018-04-13,"Girona","Betis",0,1,"A"
