"","date","home.team","home.score","away.team","away.score"
"416",2018-09-16,"Leganes",0,"Villarreal",1
"417",2018-09-16,"Sevilla",0,"Getafe",2
"418",2018-09-16,"Valladolid",0,"Alaves",1
"419",2018-09-17,"Girona",3,"Celta",2
"420",2018-09-21,"Huesca",0,"Sociedad",1
"421",2018-09-22,"Celta",3,"Valladolid",3
"422",2018-09-22,"Eibar",1,"Leganes",0
"423",2018-09-22,"Getafe",0,"Ath Madrid",2
"424",2018-09-22,"Real Madrid",1,"Espanol",0
"425",2018-09-22,"Vallecano",1,"Alaves",5
"426",2018-09-23,"Barcelona",2,"Girona",2
"427",2018-09-23,"Betis",2,"Ath Bilbao",2
"428",2018-09-23,"Levante",2,"Sevilla",6
"429",2018-09-23,"Villarreal",0,"Valencia",0
"430",2018-09-25,"Ath Madrid",3,"Huesca",0
"431",2018-09-25,"Espanol",1,"Eibar",0
"432",2018-09-25,"Sociedad",2,"Vallecano",2
"433",2018-09-26,"Ath Bilbao",0,"Villarreal",3
"434",2018-09-26,"Leganes",2,"Barcelona",1
"435",2018-09-26,"Sevilla",3,"Real Madrid",0
"436",2018-09-26,"Valencia",1,"Celta",1
"437",2018-09-27,"Alaves",1,"Getafe",1
"438",2018-09-27,"Girona",0,"Betis",1
"439",2018-09-27,"Valladolid",2,"Levante",1
"440",2018-09-28,"Vallecano",2,"Espanol",2
"441",2018-09-29,"Barcelona",1,"Ath Bilbao",1
"442",2018-09-29,"Eibar",1,"Sevilla",3
"443",2018-09-29,"Real Madrid",0,"Ath Madrid",0
"444",2018-09-29,"Sociedad",0,"Valencia",1
"445",2018-09-30,"Betis",1,"Leganes",0
"446",2018-09-30,"Huesca",1,"Girona",1
"447",2018-09-30,"Levante",2,"Alaves",1
"448",2018-09-30,"Villarreal",0,"Valladolid",1
"449",2018-10-01,"Celta",1,"Getafe",1
"450",2018-10-05,"Ath Bilbao",1,"Sociedad",3
"451",2018-10-06,"Alaves",1,"Real Madrid",0
"452",2018-10-06,"Getafe",0,"Levante",1
"453",2018-10-06,"Girona",2,"Eibar",3
"454",2018-10-06,"Leganes",1,"Vallecano",0
"455",2018-10-07,"Ath Madrid",1,"Betis",0
"456",2018-10-07,"Espanol",3,"Villarreal",1
"457",2018-10-07,"Sevilla",2,"Celta",1
"458",2018-10-07,"Valencia",1,"Barcelona",1
"459",2018-10-07,"Valladolid",1,"Huesca",0
"460",2018-10-19,"Celta",0,"Alaves",1
"461",2018-10-20,"Barcelona",4,"Sevilla",2
"462",2018-10-20,"Real Madrid",1,"Levante",2
